,svm_test,svm_train,ridge_test,ridge_train
0,0.16666666666666666,0.9914529914529915,0.3333333333333333,0.9316239316239316
1,0.5,1.0,0.3333333333333333,0.9316239316239316
2,0.16666666666666666,1.0,0.0,0.9487179487179487
3,0.5,0.9914529914529915,0.3333333333333333,0.9487179487179487
4,0.6666666666666666,0.9916666666666667,0.6666666666666666,0.925
5,0.5,0.9914529914529915,0.5,0.9316239316239316
6,0.16666666666666666,0.9914529914529915,0.16666666666666666,0.9230769230769231
7,0.5,0.9914529914529915,0.5,0.9401709401709402
8,0.3333333333333333,0.9914529914529915,0.6666666666666666,0.9401709401709402
9,0.3333333333333333,1.0,0.16666666666666666,0.9487179487179487
10,0.16666666666666666,0.9914529914529915,0.3333333333333333,0.9401709401709402
11,0.3333333333333333,1.0,0.3333333333333333,0.9401709401709402
12,0.5,0.9914529914529915,0.3333333333333333,0.9401709401709402
13,0.3333333333333333,0.9914529914529915,0.3333333333333333,0.9230769230769231
14,0.5,0.9914529914529915,0.5,0.9145299145299145
15,0.3333333333333333,0.9914529914529915,0.5,0.9316239316239316
16,0.5,0.9914529914529915,0.5,0.9401709401709402
17,0.3333333333333333,0.9914529914529915,0.5,0.9316239316239316
18,0.16666666666666666,0.9914529914529915,0.16666666666666666,0.9401709401709402
19,0.6666666666666666,0.9914529914529915,0.3333333333333333,0.9230769230769231
20,0.3333333333333333,0.9914529914529915,0.3333333333333333,0.9230769230769231
