,svm_test,svm_train,ridge_test,ridge_train
0,0.6,1.0,0.5833333333333334,0.9965397923875432
1,0.8833333333333333,1.0,0.8833333333333333,0.9965397923875432
2,0.9,1.0,0.8166666666666667,0.995674740484429
3,0.8135593220338984,1.0,0.7288135593220338,0.9956784788245462
4,0.7333333333333333,1.0,0.5666666666666667,0.9949409780775716
5,0.864406779661017,1.0,0.711864406779661,0.9948141745894555
6,0.7288135593220338,1.0,0.711864406779661,0.996542783059637
7,0.8620689655172413,1.0,0.8275862068965517,0.9965457685664939
8,0.9333333333333333,1.0,0.8333333333333334,0.995674740484429
9,0.9,1.0,0.8666666666666667,0.9948096885813149
10,0.9137931034482759,1.0,0.8103448275862069,0.9956822107081175
11,0.8166666666666667,1.0,0.8333333333333334,0.9965397923875432
12,0.9661016949152542,1.0,0.9152542372881356,0.996542783059637
13,0.9166666666666666,1.0,0.85,0.9974048442906575
14,0.7833333333333333,1.0,0.6833333333333333,0.9965397923875432
15,0.8666666666666667,1.0,0.75,0.995674740484429
16,0.8813559322033898,1.0,0.6610169491525424,0.9956784788245462
17,0.8333333333333334,1.0,0.8166666666666667,0.9965397923875432
18,0.5333333333333333,1.0,0.3333333333333333,0.995674740484429
19,0.8596491228070176,1.0,0.9649122807017544,0.9956859361518551
20,0.9482758620689655,1.0,0.8275862068965517,0.9948186528497409
