,svm_test,svm_train,ridge_test,ridge_train
0,0.38333333333333336,0.9948096885813149,0.25,0.9005190311418685
1,0.26666666666666666,0.9948096885813149,0.31666666666666665,0.907439446366782
2,0.26666666666666666,0.9982698961937716,0.4,0.9013840830449827
3,0.3898305084745763,0.9948141745894555,0.4915254237288136,0.909248055315471
4,0.43333333333333335,0.9949409780775716,0.7333333333333333,0.8988195615514334
5,0.4067796610169492,0.9956784788245462,0.3559322033898305,0.9075194468452895
6,0.3050847457627119,0.9939498703543648,0.423728813559322,0.8928262748487468
7,0.5517241379310345,0.9948186528497409,0.5862068965517241,0.9015544041450777
8,0.48333333333333334,0.9948096885813149,0.65,0.8910034602076125
9,0.36666666666666664,0.9965397923875432,0.23333333333333334,0.907439446366782
10,0.3103448275862069,0.9956822107081175,0.27586206896551724,0.9050086355785838
11,0.7333333333333333,0.9948096885813149,0.55,0.9091695501730104
12,0.6610169491525424,0.9948141745894555,0.4406779661016949,0.8954191875540191
13,0.15,0.9948096885813149,0.3333333333333333,0.8979238754325259
14,0.7333333333333333,0.9948096885813149,0.5166666666666667,0.9065743944636678
15,0.31666666666666665,0.9939446366782007,0.38333333333333336,0.9057093425605537
16,0.3389830508474576,0.9948141745894555,0.288135593220339,0.9118409680207433
17,0.5666666666666667,0.9939446366782007,0.6666666666666666,0.9048442906574394
18,0.2,0.9948096885813149,0.23333333333333334,0.9048442906574394
19,0.49122807017543857,0.993960310612597,0.49122807017543857,0.8973252804141502
20,0.29310344827586204,0.9948186528497409,0.5517241379310345,0.9024179620034543
